Year	Month	Precip	PET-Thornwaite	PET_Hargreaves
1994	5	212.33401914	110.689749775316	165.460418843384
1994	6	13.9846603605	182.376545149954	205.030532060243
1994	7	30.428052542	191.938323540522	206.753294983603
1994	8	13.32736232	173.189243963003	185.601779884223
1994	9	71.1993145	106.871807087945	142.810593164156
1994	10	91.420694459	68.400698978331	102.388977962662
1994	11	75.740298	31.0372982408333	67.6459649823385
1994	12	61.614720531	15.5474036598028	54.1356889175192
1995	1	16.29394121	12.4878374262356	57.5133546990419
1995	2	42.7609683	19.3634932057928	73.6145236685323
1995	3	57.7859097	31.9386715716491	101.268719275262
1995	4	79.39184608	67.4273787950989	150.148535181827
1995	5	129.720030874	114.185718415698	173.821408529278
1995	6	83.9371497	143.781612486555	182.747097590254
1995	7	52.199664923	190.338285249724	208.443371834842
1995	8	49.79885555	170.871862990057	180.330053111543
1995	9	97.6812182	112.203076796549	136.120434663342
1995	10	15.422612	66.0881480097033	115.288407154882
1995	11	44.2574129	27.3819034522	71.3401678555463
1995	12	2.78528247	12.8087916927708	54.8418832738123
1996	1	6.14559363	8.35319921128417	61.5794340648104
1996	2	3.68072667	20.0884832691498	79.3229451465204
1996	3	15.72974713	26.4327649537562	110.912082948679
1996	4	64.336238	66.5050119054314	156.143812960739
1996	5	96.6353469	158.923147354979	198.312926042468
1996	6	49.53459799	172.119899178005	196.421675011698
1996	7	69.784352399	194.335447707674	199.109717695755
1996	8	129.313363992	160.559065615308	167.91581292263
1996	9	102.117755727	102.927413594026	130.831633520975
1996	10	47.0459904	63.1338008101781	107.241510692859
1996	11	76.0906869	25.6754167627579	66.8146317710607
1996	12	0.42882	14.0550771786771	59.904275307891
1997	1	15.8203742	6.88750656429624	52.4348296178757
1997	2	131.81450495	11.1241957128703	58.7269792052097
1997	3	69.12608076	40.2012201353486	111.457101767621
1997	4	87.23032708	46.4898045273972	125.018464060426
1997	5	73.1644809	99.3744507328608	164.692485962153
1997	6	206.8632363	140.212841050664	176.151419146812
1997	7	3.1014487862	182.865139692255	198.079672193821
1997	8	41.16681698	170.523174531374	184.491924377751
1997	9	8.389471691	130.942702834189	150.892550639163
1997	10	50.31308823	66.9712105370738	106.437503367595
1997	11	23.03292583	19.3988588106933	64.4160179649179
1997	12	50.8717693	6.75536280616911	49.3176197852144
1998	1	28.1113899	15.701793348336	63.0235523387459
1998	2	51.53929459	15.6163547040581	67.4633537082813
